material_type,quality_grade,quantity,unit,age_years,damage_percentage,original_price,current_market_price,location,transport_distance,demand_score,reuse_score,selling_price
Structural Wood / Timber,Grade B,500.0,sq.ft,1.2,12.9,65000.0,68250.0,Hyderabad,33.7,1.05,55.00000000000001,31827.0
Granite Slabs,Grade B,250.0,sq.ft,1.9,14.8,47500.0,49875.0,Mumbai,46.2,1.18,55.00000000000001,29063.0
Construction Sand,Grade B,40.0,Tonnes,0.5,9.1,72000.0,75600.0,Chennai,23.9,1.02,55.00000000000001,37070.0
Structural Wood / Timber,Grade A,1200.0,sq.ft,0.6,6.4,156000.0,163800.0,Hyderabad,26.3,1.05,75.0,126978.0
Red Bricks,Grade B,100.0,Pieces,1.7,21.5,1100.0,1155.0,Hyderabad,47.0,1.05,55.00000000000001,624.0
Corrugated Roofing Sheets,Grade A,500.0,sq.ft,8.9,11.3,32500.0,34125.0,Pune,33.9,1.06,75.0,24598.0
Red Bricks,Grade C,1000.0,Pieces,8.7,67.4,11000.0,11550.0,Mumbai,14.7,1.18,38.0,2889.0
Sanitaryware Ceramics,Grade C,5000.0,Pieces,3.4,76.8,4250000.0,4462500.0,Bangalore,10.3,1.12,38.0,1025315.0
Sanitaryware Ceramics,Grade B,200.0,Pieces,0.3,20.4,170000.0,178500.0,Hyderabad,49.6,1.05,55.00000000000001,79997.0
Window Glass,Grade B,100.0,sq.ft,8.2,3.4,7500.0,7875.0,Pune,22.0,1.06,55.00000000000001,4208.0
Granite Slabs,Grade B,800.0,sq.ft,1.4,10.1,152000.0,159600.0,Bangalore,21.0,1.12,55.00000000000001,88322.0
Asbestos / Hazardous Sheeting,Grade E,1200.0,sq.ft,2.2,61.6,0.0,0.0,Mumbai,38.9,1.18,0.0,0.0
Marble Slabs,Grade C,250.0,sq.ft,8.2,70.9,52500.0,55125.0,Hyderabad,32.8,1.05,38.0,11828.0
Sanitaryware Ceramics,Grade D,50.0,Pieces,0.5,47.5,42500.0,44625.0,Mysuru,31.6,0.95,22.0,6230.0
TMT Steel Rods,Grade B,1000.0,kg,2.2,35.6,58000.0,60900.0,Pune,16.4,1.06,55.00000000000001,28127.0
Asbestos / Hazardous Sheeting,Grade E,100.0,sq.ft,4.6,23.9,0.0,0.0,Delhi,21.9,1.1,0.0,0.0
Granite Slabs,Grade A,500.0,sq.ft,1.0,11.9,95000.0,99750.0,Bangalore,36.3,1.12,75.0,72022.0
Red Bricks,Grade B,1000.0,Pieces,1.7,8.3,11000.0,11550.0,Chennai,17.5,1.02,55.00000000000001,5723.0
TMT Steel Rods,Grade B,200.0,kg,1.0,15.8,11600.0,12180.0,Mysuru,17.6,0.95,55.00000000000001,5866.0
Marble Slabs,Grade A,250.0,sq.ft,0.4,2.4,52500.0,55125.0,Chennai,47.0,1.02,75.0,36844.0
Sanitaryware Ceramics,Grade B,1000.0,Pieces,0.3,29.9,850000.0,892500.0,Hyderabad,38.7,1.05,55.00000000000001,421398.0
Granite Slabs,Grade C,500.0,sq.ft,0.3,52.4,95000.0,99750.0,Mysuru,30.0,0.95,38.0,25310.0
Structural Wood / Timber,Grade C,250.0,sq.ft,5.9,78.6,32500.0,34125.0,Mysuru,21.1,0.95,38.0,6332.0
PVC Pipes,Grade A,1000.0,Pieces,2.4,10.2,260000.0,273000.0,Mysuru,9.0,0.95,75.0,176791.0
Construction Sand,Grade B,60.0,Tonnes,3.1,31.1,108000.0,113400.0,Hyderabad,32.4,1.05,55.00000000000001,50037.0
Sanitaryware Ceramics,Grade B,2000.0,Pieces,0.5,11.2,1700000.0,1785000.0,Mumbai,33.0,1.18,55.00000000000001,959036.0
Structural Wood / Timber,Grade E,500.0,sq.ft,1.5,84.1,65000.0,68250.0,Hyderabad,11.2,1.05,0.0,0.0
PVC Pipes,Grade A,100.0,Pieces,1.5,11.0,26000.0,27300.0,Delhi,15.1,1.1,75.0,19631.0
Flush Doors,Grade A,100.0,Pieces,2.6,20.5,420000.0,441000.0,Hyderabad,36.1,1.05,75.0,286736.0
Galvanized Iron (GI) Pipes,Grade A,5000.0,Pieces,3.2,28.0,2750000.0,2887500.0,Pune,29.1,1.06,75.0,1816399.0
Natural Stone Slabs,Grade B,15.0,Tonnes,0.4,14.3,16500.0,17325.0,Hyderabad,28.9,1.05,55.00000000000001,8438.0
Corrugated Roofing Sheets,Grade D,100.0,sq.ft,2.5,68.0,6500.0,6825.0,Chennai,42.8,1.02,22.0,866.0
Granite Slabs,Grade B,250.0,sq.ft,3.6,12.2,47500.0,49875.0,Bangalore,30.1,1.12,55.00000000000001,27115.0
PVC Pipes,Grade B,200.0,Pieces,1.6,24.3,52000.0,54600.0,Mumbai,49.4,1.18,55.00000000000001,27215.0
Ceramic Floor Tiles,Grade B,100.0,sq.ft,5.9,16.5,4200.0,4410.0,Delhi,27.1,1.1,55.00000000000001,2303.0
Ceramic Floor Tiles,Grade C,250.0,sq.ft,4.0,12.3,10500.0,11025.0,Bangalore,19.6,1.12,38.0,4185.0
Granite Slabs,Grade B,500.0,sq.ft,3.0,0.9,95000.0,99750.0,Bangalore,31.7,1.12,55.00000000000001,58827.0
Ceramic Floor Tiles,Grade B,1200.0,sq.ft,2.6,4.6,50400.0,52920.0,Mysuru,5.1,0.95,55.00000000000001,25534.0
Ceramic Floor Tiles,Grade B,500.0,sq.ft,0.5,9.4,21000.0,22050.0,Chennai,47.2,1.02,55.00000000000001,11786.0
Electrical Wiring & Panels,Grade B,2000.0,Pieces,4.3,24.7,440000.0,462000.0,Bangalore,41.0,1.12,55.00000000000001,226786.0
Mixed Demolition Waste,Grade C,60.0,Tonnes,7.4,43.3,27000.0,28350.0,Mysuru,45.5,0.95,38.0,7453.0
Ceramic Floor Tiles,Grade B,500.0,sq.ft,2.3,20.1,21000.0,22050.0,Pune,29.4,1.06,55.00000000000001,9962.0
Mixed Demolition Waste,Grade B,60.0,Tonnes,4.9,6.5,27000.0,28350.0,Delhi,38.9,1.1,55.00000000000001,15749.0
Structural Wood / Timber,Grade C,1200.0,sq.ft,0.3,69.0,156000.0,163800.0,Bangalore,10.0,1.12,38.0,40910.0
Structural Wood / Timber,Grade B,500.0,sq.ft,4.0,7.3,65000.0,68250.0,Delhi,32.0,1.1,55.00000000000001,39120.0
Asbestos / Hazardous Sheeting,Grade E,500.0,sq.ft,9.8,59.7,0.0,0.0,Mumbai,11.9,1.18,0.0,0.0
Red Bricks,Grade A,200.0,Pieces,2.9,41.7,2200.0,2310.0,Delhi,38.1,1.1,75.0,1432.0
PVC Pipes,Grade C,50.0,Pieces,2.0,73.7,13000.0,13650.0,Mumbai,14.3,1.18,38.0,3313.0
Cement Blocks,Grade B,200.0,Pieces,6.2,39.7,10400.0,10920.0,Bangalore,6.5,1.12,55.00000000000001,4337.0
Mixed Demolition Waste,Grade A,60.0,Tonnes,2.3,24.2,27000.0,28350.0,Bangalore,14.9,1.12,75.0,19448.0
Granite Slabs,Grade E,1200.0,sq.ft,2.6,68.6,228000.0,239400.0,Bangalore,22.9,1.12,0.0,0.0
Mixed Demolition Waste,Grade A,15.0,Tonnes,1.5,39.1,6750.0,7087.5,Mumbai,8.0,1.18,75.0,4526.0
Concrete Rubble,Grade B,15.0,Tonnes,1.7,31.8,18000.0,18900.0,Bangalore,21.8,1.12,55.00000000000001,8839.0
Flush Doors,Grade D,5000.0,Pieces,1.8,53.7,21000000.0,22050000.0,Mysuru,35.2,0.95,22.0,2912449.0
Red Bricks,Grade B,500.0,Pieces,5.1,13.9,5500.0,5775.0,Mysuru,35.1,0.95,55.00000000000001,2678.0
Natural Stone Slabs,Grade B,25.0,Tonnes,0.2,1.9,27500.0,28875.0,Mysuru,20.1,0.95,55.00000000000001,13944.0
Electrical Wiring & Panels,Grade C,50.0,Pieces,1.8,76.8,11000.0,11550.0,Hyderabad,44.1,1.05,38.0,2459.0
Granite Slabs,Grade B,500.0,sq.ft,1.1,24.7,95000.0,99750.0,Bangalore,24.0,1.12,55.00000000000001,51329.0
Corrugated Roofing Sheets,Grade C,250.0,sq.ft,0.3,31.6,16250.0,17062.5,Hyderabad,37.4,1.05,38.0,5066.0
PVC Pipes,Grade B,100.0,Pieces,3.5,8.8,26000.0,27300.0,Hyderabad,24.0,1.05,55.00000000000001,14681.0
Concrete Rubble,Grade A,15.0,Tonnes,0.8,18.4,18000.0,18900.0,Mumbai,21.0,1.18,75.0,13618.0
Cement Blocks,Grade D,500.0,Pieces,3.5,79.7,26000.0,27300.0,Pune,12.3,1.06,22.0,3252.0
Asbestos / Hazardous Sheeting,Grade E,100.0,sq.ft,5.8,26.6,0.0,0.0,Mumbai,27.3,1.18,0.0,0.0
Window Glass,Grade A,800.0,sq.ft,5.0,27.7,60000.0,63000.0,Mysuru,41.3,0.95,75.0,33406.0
Granite Slabs,Grade A,1200.0,sq.ft,3.7,8.4,228000.0,239400.0,Mysuru,39.2,0.95,75.0,159432.0
PVC Pipes,Grade A,5000.0,Pieces,3.3,27.2,1300000.0,1365000.0,Bangalore,50.0,1.12,75.0,899805.0
Window Glass,Grade A,800.0,sq.ft,4.1,14.9,60000.0,63000.0,Hyderabad,43.0,1.05,75.0,44641.0
Granite Slabs,Grade C,800.0,sq.ft,2.7,54.9,152000.0,159600.0,Mumbai,30.8,1.18,38.0,47559.0
Granite Slabs,Grade B,500.0,sq.ft,1.4,21.9,95000.0,99750.0,Chennai,44.2,1.02,55.00000000000001,47613.0
Cement Blocks,Grade A,500.0,Pieces,1.5,19.3,26000.0,27300.0,Chennai,49.3,1.02,75.0,15839.0
Flush Doors,Grade A,2000.0,Pieces,1.8,6.3,8400000.0,8820000.0,Pune,43.4,1.06,75.0,6597059.0
Marble Slabs,Grade A,1200.0,sq.ft,0.3,37.2,252000.0,264600.0,Chennai,40.4,1.02,75.0,148103.0
Aluminum Windows,Grade B,500.0,Pieces,6.5,12.2,1400000.0,1470000.0,Pune,7.9,1.06,55.00000000000001,790893.0
Mixed Demolition Waste,Grade B,5.0,Tonnes,0.3,10.9,2250.0,2362.5,Mysuru,28.3,0.95,55.00000000000001,1121.0
Asbestos / Hazardous Sheeting,Grade E,1200.0,sq.ft,2.4,64.2,0.0,0.0,Mysuru,29.2,0.95,0.0,0.0
Galvanized Iron (GI) Pipes,Grade D,50.0,Pieces,0.5,48.9,27500.0,28875.0,Hyderabad,43.3,1.05,22.0,4476.0
Structural Wood / Timber,Grade C,1200.0,sq.ft,1.8,46.6,156000.0,163800.0,Mysuru,14.9,0.95,38.0,39027.0
Corrugated Roofing Sheets,Grade D,1200.0,sq.ft,5.9,32.2,78000.0,81900.0,Hyderabad,38.0,1.05,22.0,13879.0
Mixed Demolition Waste,Grade D,10.0,Tonnes,5.9,55.7,4500.0,4725.0,Delhi,9.8,1.1,22.0,698.0
Structural Wood / Timber,Grade D,250.0,sq.ft,2.1,64.2,32500.0,34125.0,Mysuru,42.4,0.95,22.0,4151.0
Electrical Wiring & Panels,Grade A,1000.0,Pieces,3.1,15.5,220000.0,231000.0,Hyderabad,40.1,1.05,75.0,158813.0
Flush Doors,Grade B,200.0,Pieces,1.5,11.5,840000.0,882000.0,Mysuru,12.5,0.95,55.00000000000001,415293.0
Electrical Wiring & Panels,Grade A,500.0,Pieces,2.1,5.5,110000.0,115500.0,Mysuru,6.1,0.95,75.0,80535.0
Concrete Rubble,Grade B,15.0,Tonnes,8.9,14.7,18000.0,18900.0,Hyderabad,14.9,1.05,55.00000000000001,9920.0
Concrete Rubble,Grade C,15.0,Tonnes,3.4,76.4,18000.0,18900.0,Delhi,48.4,1.1,38.0,4019.0
Red Bricks,Grade B,5000.0,Pieces,1.0,29.2,55000.0,57750.0,Chennai,26.2,1.02,55.00000000000001,25216.0
PVC Pipes,Grade A,200.0,Pieces,6.3,18.1,52000.0,54600.0,Bangalore,40.9,1.12,75.0,39737.0
Cement Blocks,Grade A,2000.0,Pieces,2.2,11.8,104000.0,109200.0,Pune,15.1,1.06,75.0,74499.0
Concrete Rubble,Grade C,60.0,Tonnes,12.7,77.4,72000.0,75600.0,Mumbai,18.1,1.18,38.0,17835.0
Ceramic Floor Tiles,Grade D,800.0,sq.ft,2.2,65.9,33600.0,35280.0,Mumbai,20.6,1.18,22.0,5029.0
PVC Pipes,Grade A,100.0,Pieces,0.4,24.5,26000.0,27300.0,Delhi,22.9,1.1,75.0,18440.0
Natural Stone Slabs,Grade C,60.0,Tonnes,0.9,44.3,66000.0,69300.0,Pune,31.8,1.06,38.0,18895.0
Galvanized Iron (GI) Pipes,Grade A,200.0,Pieces,3.9,15.7,110000.0,115500.0,Bangalore,26.8,1.12,75.0,85877.0
Ceramic Floor Tiles,Grade C,800.0,sq.ft,2.2,77.8,33600.0,35280.0,Mysuru,16.1,0.95,38.0,6153.0
Corrugated Roofing Sheets,Grade B,250.0,sq.ft,0.9,24.5,16250.0,17062.5,Mumbai,5.9,1.18,55.00000000000001,8524.0
Galvanized Iron (GI) Pipes,Grade B,5000.0,Pieces,0.9,28.5,2750000.0,2887500.0,Delhi,23.7,1.1,55.00000000000001,1287193.0
Asbestos / Hazardous Sheeting,Grade E,250.0,sq.ft,1.5,17.6,0.0,0.0,Hyderabad,31.9,1.05,0.0,0.0
Mixed Demolition Waste,Grade B,10.0,Tonnes,1.5,18.8,4500.0,4725.0,Chennai,37.2,1.02,55.00000000000001,2228.0
Marble Slabs,Grade B,100.0,sq.ft,1.0,10.5,21000.0,22050.0,Mysuru,34.8,0.95,55.00000000000001,10392.0
Concrete Rubble,Grade D,60.0,Tonnes,1.4,78.6,72000.0,75600.0,Hyderabad,19.9,1.05,22.0,8693.0
Flush Doors,Grade C,500.0,Pieces,1.9,82.8,2100000.0,2205000.0,Bangalore,22.1,1.12,38.0,420296.0
Electrical Wiring & Panels,Grade B,500.0,Pieces,3.9,25.6,110000.0,115500.0,Bangalore,17.1,1.12,55.00000000000001,59851.0
Concrete Rubble,Grade A,60.0,Tonnes,8.5,23.0,72000.0,75600.0,Hyderabad,36.0,1.05,75.0,47935.0
Aluminum Windows,Grade A,500.0,Pieces,3.3,48.5,1400000.0,1470000.0,Bangalore,10.7,1.12,75.0,835914.0
PVC Pipes,Grade E,200.0,Pieces,4.1,51.4,52000.0,54600.0,Bangalore,35.7,1.12,0.0,0.0
Sanitaryware Ceramics,Grade A,50.0,Pieces,6.3,11.6,42500.0,44625.0,Mysuru,32.0,0.95,75.0,29119.0
Concrete Rubble,Grade E,10.0,Tonnes,1.3,77.5,12000.0,12600.0,Chennai,23.2,1.02,0.0,0.0
Natural Stone Slabs,Grade D,60.0,Tonnes,5.1,59.9,66000.0,69300.0,Mumbai,29.5,1.18,22.0,10415.0
Mixed Demolition Waste,Grade B,60.0,Tonnes,2.9,4.4,27000.0,28350.0,Bangalore,33.9,1.12,55.00000000000001,16170.0
Concrete Rubble,Grade B,60.0,Tonnes,2.5,3.6,72000.0,75600.0,Mumbai,38.6,1.18,55.00000000000001,46047.0
Aluminum Windows,Grade A,1000.0,Pieces,0.4,40.5,2800000.0,2940000.0,Pune,20.8,1.06,75.0,1788258.0
Concrete Rubble,Grade A,10.0,Tonnes,1.1,12.3,12000.0,12600.0,Delhi,32.5,1.1,75.0,8806.0
TMT Steel Rods,Grade C,200.0,kg,0.8,68.6,11600.0,12180.0,Chennai,30.5,1.02,38.0,2504.0
Flush Doors,Grade D,200.0,Pieces,2.2,45.0,840000.0,882000.0,Delhi,5.1,1.1,22.0,149863.0
Galvanized Iron (GI) Pipes,Grade C,100.0,Pieces,3.0,85.5,55000.0,57750.0,Pune,37.9,1.06,38.0,10490.0
TMT Steel Rods,Grade B,200.0,kg,5.2,9.3,11600.0,12180.0,Mysuru,38.2,0.95,55.00000000000001,5642.0
Granite Slabs,Grade A,1200.0,sq.ft,3.3,31.7,228000.0,239400.0,Hyderabad,7.6,1.05,75.0,146957.0
Concrete Rubble,Grade B,25.0,Tonnes,3.8,12.2,30000.0,31500.0,Pune,41.8,1.06,55.00000000000001,15140.0
Window Glass,Grade C,100.0,sq.ft,0.5,77.0,7500.0,7875.0,Delhi,32.8,1.1,38.0,1618.0
Corrugated Roofing Sheets,Grade B,500.0,sq.ft,3.5,21.4,32500.0,34125.0,Mysuru,29.0,0.95,55.00000000000001,14107.0
Ceramic Floor Tiles,Grade A,800.0,sq.ft,3.5,6.8,33600.0,35280.0,Delhi,9.0,1.1,75.0,28426.0
Structural Wood / Timber,Grade A,800.0,sq.ft,4.4,20.1,104000.0,109200.0,Pune,20.6,1.06,75.0,75883.0
Marble Slabs,Grade B,250.0,sq.ft,1.7,14.9,52500.0,55125.0,Pune,40.5,1.06,55.00000000000001,28029.0
Red Bricks,Grade B,200.0,Pieces,4.8,10.4,2200.0,2310.0,Delhi,15.8,1.1,55.00000000000001,1313.0
TMT Steel Rods,Grade D,500.0,kg,7.8,61.0,29000.0,30450.0,Chennai,44.1,1.02,22.0,4109.0
Ceramic Floor Tiles,Grade A,250.0,sq.ft,1.3,18.6,10500.0,11025.0,Pune,48.1,1.06,75.0,7627.0
Concrete Rubble,Grade A,60.0,Tonnes,1.3,20.1,72000.0,75600.0,Chennai,11.6,1.02,75.0,50243.0
Concrete Rubble,Grade A,25.0,Tonnes,2.3,15.2,30000.0,31500.0,Mysuru,19.0,0.95,75.0,17181.0
Ceramic Floor Tiles,Grade A,500.0,sq.ft,3.1,19.8,21000.0,22050.0,Mumbai,38.9,1.18,75.0,17354.0
Construction Sand,Grade E,25.0,Tonnes,0.8,62.6,45000.0,47250.0,Mumbai,49.9,1.18,0.0,0.0
Asbestos / Hazardous Sheeting,Grade E,1200.0,sq.ft,3.1,81.8,0.0,0.0,Hyderabad,20.9,1.05,0.0,0.0
Natural Stone Slabs,Grade A,40.0,Tonnes,4.6,16.5,44000.0,46200.0,Hyderabad,39.2,1.05,75.0,31356.0
Red Bricks,Grade B,5000.0,Pieces,1.0,10.5,55000.0,57750.0,Mysuru,27.5,0.95,55.00000000000001,26894.0
TMT Steel Rods,Grade D,500.0,kg,3.4,49.4,29000.0,30450.0,Delhi,45.1,1.1,22.0,5163.0
Marble Slabs,Grade B,500.0,sq.ft,8.2,5.4,105000.0,110250.0,Mysuru,25.3,0.95,55.00000000000001,54165.0
Granite Slabs,Grade B,500.0,sq.ft,2.0,14.2,95000.0,99750.0,Delhi,34.7,1.1,55.00000000000001,52319.0
Granite Slabs,Grade E,250.0,sq.ft,1.7,77.4,47500.0,49875.0,Hyderabad,5.9,1.05,0.0,0.0
Marble Slabs,Grade E,250.0,sq.ft,4.8,67.1,52500.0,55125.0,Pune,19.5,1.06,0.0,0.0
Concrete Rubble,Grade B,5.0,Tonnes,7.8,11.4,6000.0,6300.0,Hyderabad,46.8,1.05,55.00000000000001,3275.0
Galvanized Iron (GI) Pipes,Grade B,500.0,Pieces,2.6,8.0,275000.0,288750.0,Mumbai,13.9,1.18,55.00000000000001,171997.0
Cement Blocks,Grade C,1000.0,Pieces,6.1,71.0,52000.0,54600.0,Chennai,49.0,1.02,38.0,11700.0
Natural Stone Slabs,Grade C,25.0,Tonnes,0.8,65.9,27500.0,28875.0,Pune,6.9,1.06,38.0,6672.0
Construction Sand,Grade A,40.0,Tonnes,0.9,12.7,72000.0,75600.0,Mysuru,38.5,0.95,75.0,48763.0
Cement Blocks,Grade B,100.0,Pieces,0.7,22.9,5200.0,5460.0,Mumbai,30.1,1.18,55.00000000000001,2981.0
Cement Blocks,Grade E,5000.0,Pieces,1.7,65.3,260000.0,273000.0,Mumbai,32.7,1.18,0.0,0.0
Concrete Rubble,Grade B,60.0,Tonnes,2.5,26.1,72000.0,75600.0,Hyderabad,14.1,1.05,55.00000000000001,34899.0
Aluminum Windows,Grade C,200.0,Pieces,1.3,42.6,560000.0,588000.0,Pune,11.2,1.06,38.0,165229.0
Ceramic Floor Tiles,Grade B,800.0,sq.ft,0.2,2.7,33600.0,35280.0,Pune,28.0,1.06,55.00000000000001,18857.0
Asbestos / Hazardous Sheeting,Grade E,500.0,sq.ft,0.4,42.8,0.0,0.0,Delhi,27.4,1.1,0.0,0.0
Natural Stone Slabs,Grade A,5.0,Tonnes,4.3,10.8,5500.0,5775.0,Hyderabad,24.5,1.05,75.0,4037.0
Construction Sand,Grade E,60.0,Tonnes,1.3,61.6,108000.0,113400.0,Delhi,49.6,1.1,0.0,0.0
Aluminum Windows,Grade C,50.0,Pieces,2.9,74.2,140000.0,147000.0,Mysuru,31.4,0.95,38.0,29924.0
Corrugated Roofing Sheets,Grade C,1200.0,sq.ft,1.1,61.6,78000.0,81900.0,Mumbai,36.8,1.18,38.0,21579.0
TMT Steel Rods,Grade A,1500.0,kg,2.3,33.9,87000.0,91350.0,Pune,10.9,1.06,75.0,56702.0
TMT Steel Rods,Grade A,500.0,kg,0.3,20.0,29000.0,30450.0,Delhi,17.2,1.1,75.0,20251.0
Flush Doors,Grade C,50.0,Pieces,0.4,56.3,210000.0,220500.0,Chennai,20.6,1.02,38.0,56210.0
Ceramic Floor Tiles,Grade D,100.0,sq.ft,4.2,36.0,4200.0,4410.0,Mysuru,27.3,0.95,22.0,678.0
Sanitaryware Ceramics,Grade A,50.0,Pieces,0.9,2.2,42500.0,44625.0,Pune,13.2,1.06,75.0,32244.0
Red Bricks,Grade B,100.0,Pieces,1.0,8.8,1100.0,1155.0,Hyderabad,8.7,1.05,55.00000000000001,607.0
Ceramic Floor Tiles,Grade C,800.0,sq.ft,0.7,29.7,33600.0,35280.0,Mysuru,7.8,0.95,38.0,10525.0
Flush Doors,Grade E,2000.0,Pieces,4.8,72.5,8400000.0,8820000.0,Mumbai,38.9,1.18,0.0,0.0
Construction Sand,Grade A,25.0,Tonnes,3.4,14.9,45000.0,47250.0,Hyderabad,39.7,1.05,75.0,33409.0
Red Bricks,Grade B,200.0,Pieces,0.5,17.5,2200.0,2310.0,Mumbai,13.8,1.18,55.00000000000001,1337.0
Electrical Wiring & Panels,Grade B,2000.0,Pieces,4.9,25.4,440000.0,462000.0,Delhi,29.0,1.1,55.00000000000001,230006.0
Electrical Wiring & Panels,Grade A,5000.0,Pieces,1.6,8.6,1100000.0,1155000.0,Mumbai,13.3,1.18,75.0,875879.0
Structural Wood / Timber,Grade C,1200.0,sq.ft,1.3,34.5,156000.0,163800.0,Mumbai,35.1,1.18,38.0,53113.0
Ceramic Floor Tiles,Grade E,250.0,sq.ft,0.7,49.5,10500.0,11025.0,Mumbai,14.4,1.18,0.0,0.0
Structural Wood / Timber,Grade E,500.0,sq.ft,6.1,44.9,65000.0,68250.0,Delhi,45.6,1.1,0.0,0.0
Concrete Rubble,Grade C,40.0,Tonnes,1.4,60.5,48000.0,50400.0,Delhi,23.9,1.1,38.0,13060.0
Concrete Rubble,Grade B,25.0,Tonnes,0.8,3.2,30000.0,31500.0,Pune,26.2,1.06,55.00000000000001,17180.0
Asbestos / Hazardous Sheeting,Grade E,100.0,sq.ft,3.6,69.8,0.0,0.0,Hyderabad,34.5,1.05,0.0,0.0
Red Bricks,Grade C,1000.0,Pieces,0.4,73.8,11000.0,11550.0,Pune,6.5,1.06,38.0,2570.0
Natural Stone Slabs,Grade D,15.0,Tonnes,4.6,68.1,16500.0,17325.0,Bangalore,5.0,1.12,22.0,2485.0
Concrete Rubble,Grade B,15.0,Tonnes,1.0,9.0,18000.0,18900.0,Chennai,24.0,1.02,55.00000000000001,9468.0
Marble Slabs,Grade C,800.0,sq.ft,7.4,53.5,168000.0,176400.0,Chennai,10.1,1.02,38.0,43283.0
Ceramic Floor Tiles,Grade A,500.0,sq.ft,0.5,3.2,21000.0,22050.0,Delhi,37.9,1.1,75.0,16547.0
PVC Pipes,Grade D,200.0,Pieces,2.9,52.7,52000.0,54600.0,Hyderabad,17.0,1.05,22.0,8000.0
Natural Stone Slabs,Grade D,5.0,Tonnes,3.4,64.8,5500.0,5775.0,Pune,45.9,1.06,22.0,815.0
Red Bricks,Grade A,100.0,Pieces,1.9,13.1,1100.0,1155.0,Pune,12.4,1.06,75.0,794.0
PVC Pipes,Grade D,2000.0,Pieces,2.9,37.3,520000.0,546000.0,Chennai,40.4,1.02,22.0,89821.0
